Name,SpeakerName,SpeakerColor,DialogueText,VoiceAudio,DisplayDuration
Radio_Hunt_Start,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Hunt_Start_SpeakerName"", ""기갑 장교 발렌"")","(R=0.200000,G=0.800000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Hunt_Start_DialogueText"", ""궤도 엘리베이터 하부에서 네 실종 당시와 같은 식별 신호가 잡혔다. 전송 게이트를 열고 신호원을 확인한다."")",None,4
Radio_Hunt_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Hunt_Clear_SpeakerName"", ""기갑 장교 발렌"")","(R=0.200000,G=0.800000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Hunt_Clear_DialogueText"", ""통행 코드 확인. 전송 게이트가 열린다. 진입 후 세라의 유도를 따라."")",None,4
Radio_Boss_Warning,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Boss_Warning_SpeakerName"", ""기갑 장교 발렌"")","(R=0.200000,G=0.800000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Boss_Warning_DialogueText"", ""확인했다. 조종자 생체 신호는 없다. 저건 더 이상 아군이 아니다. 무력화해."")",None,4
Radio_Welcome_Start,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Welcome_Start_SpeakerName"", ""교육 조교 탈"")","(R=0.550000,G=0.900000,B=0.600000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Welcome_Start_DialogueText"", ""생존 기록은 갱신했다. 네가 비운 3주 동안 방어선은 두 구역 밀렸다. 먼저 데크에게서 복귀 보급을 받아."")",None,4
Radio_Welcome_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Welcome_Clear_SpeakerName"", ""보급상 데크"")","(R=1.000000,G=0.650000,B=0.250000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Welcome_Clear_DialogueText"", ""탈 쪽 확인은 넘어왔어. 네 보급품은 3주 전 그대로 묶여 있었지. 살아 돌아왔으니 다시 네 몫이다."")",None,4
Radio_Mobility_Start,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Mobility_Start_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Mobility_Start_DialogueText"", ""구동계 로그를 확인했습니다. 비정상 마모가 심합니다. 데크에게서 질풍 모듈을 확보하십시오."")",None,4
Radio_Mobility_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Mobility_Clear_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Mobility_Clear_DialogueText"", ""체결 완료. 출력은 안정권입니다. 그런데 구동계 깊숙한 곳에 3주 전 외부 접속 기록이 남아 있습니다. 정상 정비 기록이 아닙니다."")",None,4.5
Radio_Endurance_Start,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Endurance_Start_SpeakerName"", ""정비병 보로스"")","(R=0.700000,G=0.750000,B=0.800000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Endurance_Start_DialogueText"", ""고속 구동보다 먼저 순환계를 살려야 한다. 데크에게서 지구력 코어를 구해 와. 내가 프레임에 맞춰 주지."")",None,4
Radio_Endurance_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Endurance_Clear_SpeakerName"", ""정비병 보로스"")","(R=0.700000,G=0.750000,B=0.800000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Endurance_Clear_DialogueText"", ""순환계 안정화 끝났다. 그리고 네 프레임 안쪽에서 아군 정비 각인을 하나 찾았다. 네 기체 것이 아니야."")",None,4
Radio_Arsenal_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Arsenal_Clear_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Arsenal_Clear_DialogueText"", ""광폭 회로 체결을 완료했습니다. 방어 한계를 해제하는 물건이니, 사용하는 만큼 프레임이 손상된다는 점을 잊지 마십시오."")",None,2
Radio_Fortress_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Fortress_Clear_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Fortress_Clear_DialogueText"", ""철벽 프로토콜 정상 작동. 이 정도면 반응로 앞에서 상당 시간 버틸 수 있습니다. 그 이후는 장담할 수 없습니다."")",None,2
Radio_Apex_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Apex_Clear_SpeakerName"", ""보급상 데크"")","(R=1.000000,G=0.650000,B=0.250000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Apex_Clear_DialogueText"", ""관통자, 인수 확인했다. 장갑 무시하는 물건이야. 값어치는 하겠지 — 그쪽이 살아 오면."")",None,2
Radio_Shooter_Start,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Shooter_Start_SpeakerName"", ""기갑병 릭"")","(R=0.950000,G=0.550000,B=0.400000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Shooter_Start_DialogueText"", ""사격형은 엄폐 뒤에서 진입로만 재고 있습니다. 머리 내밀면 그때 옵니다. 측면으로 붙으십쇼."")",None,2
Radio_Shooter_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Shooter_Clear_SpeakerName"", ""기갑병 릭"")","(R=0.950000,G=0.550000,B=0.400000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Shooter_Clear_DialogueText"", ""진입로 열렸습니다. …저것들 사격선이 우리 교범이랑 똑같던데. 기분 탓이겠죠."")",None,2
Radio_Reach_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Reach_Clear_SpeakerName"", ""보초병 콜"")","(R=0.600000,G=0.800000,B=0.900000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Reach_Clear_DialogueText"", ""정찰 결과 확인했습니다. 어제부터 궤도 엘리베이터 방향에서 폐기된 아군 식별 신호가 반복됩니다. 발렌 장교님께 바로 보고하십시오."")",None,4.5
Radio_Talk_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Talk_Clear_SpeakerName"", ""기갑 장교 발렌"")","(R=0.200000,G=0.800000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Talk_Clear_DialogueText"", ""보고는 여기까지다. 실종 기체와 네 기록의 연관성은 기밀로 묶는다. 공식 기록에는 미확인 오염체로 남겨."")",None,4
Radio_Reactor_Hold,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Reactor_Hold_SpeakerName"", ""모듈 관리관 세라"")","(R=0.900000,G=0.600000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Reactor_Hold_DialogueText"", ""반응로 안정화. 외부 점화 신호는 승강 제어실에서 들어옵니다. 아군 암호화 규격입니다."")",None,4
Radio_Defend_Start,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Defend_Start_SpeakerName"", ""기갑병 보드"")","(R=0.950000,G=0.550000,B=0.400000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Defend_Start_DialogueText"", ""반응로 방어선, 지금부터 계승자님 기준으로 잡습니다. 저게 터지면 이 구역은 지도에서 지워집니다."")",None,2
Radio_Defend_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Defend_Clear_SpeakerName"", ""기갑병 보드"")","(R=0.950000,G=0.550000,B=0.400000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Defend_Clear_DialogueText"", ""방어 성공. 반응로 무사합니다. 우리 방어선은 아직 안 뚫렸습니다 — 계승자님 덕에요."")",None,2
Radio_Capture_Start,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Capture_Start_SpeakerName"", ""보초병 렌"")","(R=0.600000,G=0.800000,B=0.900000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Capture_Start_DialogueText"", ""전초기지 점령 지원합니다. 구역 안에 계속 계셔야 해요. 한 발만 벗어나도 계기가 처음으로 돌아갑니다."")",None,2
Radio_Capture_Clear,"NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Capture_Clear_SpeakerName"", ""보초병 렌"")","(R=0.600000,G=0.800000,B=0.900000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission [73FCC5C79BC4DB384C54AB86C65E1510]"", ""Radio_Capture_Clear_DialogueText"", ""점령 완료. 깃발 올렸습니다. …근무 중 잡담은 금지지만, 이건 보고할 맛이 나네요."")",None,2
Radio_Elevator_Move,"NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Elevator_Move_SpeakerName"", ""기갑 장교 발렌"")","(R=0.200000,G=0.800000,B=1.000000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Elevator_Move_DialogueText"", ""통행 코드 확인. 전송 게이트를 개방한다. 궤도 엘리베이터에 진입해 화물 구역부터 확보해."")",None,4
Radio_Reach_Start,"NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Reach_Start_SpeakerName"", ""교육 조교 탈"")","(R=0.550000,G=0.900000,B=0.600000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Reach_Start_DialogueText"", ""좋아, 몸은 다시 움직일 만하군. 하지만 네가 사라진 날 이후 방어선은 계속 밀렸다. 보급창고 외곽까지 가서 직접 확인하고, 콜에게 현재 상황을 보고해."")",None,6
Radio_Mark_Trace_Clear,"NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Mark_Trace_Clear_SpeakerName"", ""정비병 보로스"")","(R=0.700000,G=0.750000,B=0.800000,A=1.000000)","NSLOCTEXT(""DT_RadioTransmission"", ""Radio_Mark_Trace_Clear_DialogueText"", ""각인이 맞아. 궤도 지원 7반의 표식이다. 네가 실종된 날 전원 실종 처리된 반이지. 작업 명령 원본은 지워졌지만 중앙 정비 기록고에 복제본이 남아 있을 거다."")",None,6
